date	sp	csco	intc
1991-04-29	-1.424	-5.909	-3.415
1991-04-30	0.451	3.419	-2.258
1991-05-01	1.308	0.836	-1.535
1991-05-02	0.06	2.469	-0.516
1991-05-03	0.074	0	0.517
1991-05-06	-0.189	2.41	2.041
1991-05-07	-0.729	0	1.504
1991-05-08	0.315	-0.797	2.458
1991-05-09	1.245	1.587	5.662
1991-05-10	-1.979	-3.201	-2.791
1991-05-13	0.271	3.2	-0.473
1991-05-14	-1.374	-3.607	0.944
1991-05-15	-0.824	-8.072	-7.809
1991-05-16	0.977	2.62	-1.535
1991-05-17	0.054	-1.739	0
1991-05-20	-0.03	-0.881	0
1991-05-21	0.821	3.479	-3.142
1991-05-22	0.224	4.185	3.141
1991-05-23	-0.325	1.626	4.041
1991-05-24	0.67	2.39	0.985
1991-05-28	1.172	4.616	4.317
1991-05-29	0.222	-3.054	-1.896
1991-05-30	1.084	1.156	1.896
1991-05-31	0.739	-1.156	4.588
1991-06-03	-0.455	0.772	4.815
1991-06-04	-0.083	1.526	-1.29
1991-06-05	-0.686	0.755	-7.178
1991-06-06	-0.38	-1.134	-0.466
1991-06-07	-1.101	-0.381	-2.364
1991-06-10	-0.227	0	-3.406
1991-06-11	0.653	1.515	1.474
1991-06-12	-1.161	-2.282	-3.728
1991-06-13	0.26	2.282	-1.274
1991-06-14	1.226	2.231	-1.031
1991-06-17	-0.567	4.317	2.558
1991-06-18	-0.406	-1.418	-2.041
1991-06-19	-0.929	-2.899	-2.084
1991-06-20	0.088	-0.369	-0.792
1991-06-21	0.619	-1.862	-0.265
1991-06-24	-1.819	-6.203	-7.166
1991-06-25	-0.078	-1.613	0.569
1991-06-26	0.253	-0.816	4.445
1991-06-27	0.753	1.626	-0.818
1991-06-28	-0.869	-1.626	1.9
1991-07-01	1.805	5.579	-2.174
1991-07-02	-0.119	-1.562	-5.942
1991-07-03	-1.103	0.784	0
1991-07-05	0.201	-0.784	0
1991-07-08	1.027	2.719	2.873
1991-07-09	-0.485	4.495	2.518
1991-07-10	-0.098	0.365	3.261
1991-07-11	0.327	0	-2.71
1991-07-12	0.866	2.166	2.174
1991-07-15	0.561	0	0.537
1991-07-16	-0.223	0.711	-2.162
1991-07-17	-0.094	1.408	-3.334
1991-07-18	1.093	1.389	3.334
1991-07-19	-0.299	3.39	3.226
1991-07-22	-0.349	0	-2.682
1991-07-23	-0.908	-2.703	-3.315
1991-07-24	-0.206	-2.778	0.56
1991-07-25	0.611	1.05	2.21
1991-07-26	-0.008	2.069	-1.099
1991-07-29	0.581	3.685	0.55
1991-07-30	0.92	1.955	0.821
1991-07-31	0.289	1.282	2.422
1991-08-01	-0.178	0.317	5.435
1991-08-02	0.015	3.432	-0.759
1991-08-05	-0.549	1.22	-1.02
1991-08-06	1.434	-1.219	4.021
1991-08-07	-0.015	-2.485	-0.99
1991-08-08	-0.318	-2.226	-3.03
1991-08-09	-0.567	0.321	-1.29
1991-08-12	0.232	3.155	1.802
1991-08-13	0.411	3.059	1.519
1991-08-14	0.072	3.55	1
1991-08-15	-0.146	-3.55	-1.756
1991-08-16	-0.968	2.968	-3.346
1991-08-19	-2.391	-2.367	-1.318
1991-08-20	0.783	-0.902	1.317
1991-08-21	2.899	6.718	5.599
1991-08-22	0.189	1.958	-0.995
1991-08-23	0.723	1.375	0.499
1991-08-26	-0.081	0	0.497
1991-08-27	-0.201	-0.547	3.884
1991-08-28	0.907	1.093	-1.439
1991-08-29	-0.043	-0.544	-0.971
1991-08-30	-0.263	-0.823	-3.475
1991-09-03	-0.833	-1.387	-2.041
1991-09-04	-0.557	-3.99	-0.516
1991-09-05	-0.213	-1.759	-1.566
1991-09-06	-0.01	0	0
1991-09-09	-0.136	3.202	-1.059
1991-09-10	-1.037	-0.287	1.583
1991-09-11	0.138	1.142	2.072
1991-09-12	0.583	2.248	2.03
1991-09-13	-0.973	-2.247	-14.581
1991-09-16	0.569	-2.299	-3.55
1991-09-17	-0.073	0	-1.212
1991-09-18	0.373	2.299	1.812
1991-09-19	0.16	1.691	-0.902
1991-09-20	0.093	0.835	2.093
1991-09-23	-0.517	-0.277	-3.004
1991-09-24	0.463	-0.278	1.812
1991-09-25	-0.214	-3.688	0.299
1991-09-26	-0.101	-7.188	1.482
1991-09-27	-0.153	-0.623	-0.59
1991-09-30	0.507	2.469	0
1991-10-01	0.345	3.003	-2.699
1991-10-02	-0.242	-2.395	-2.774
1991-10-03	-0.981	-2.454	-1.258
1991-10-04	-0.844	2.454	1.258
1991-10-07	-0.457	0.905	0
1991-10-08	0.308	0.3	-3.498
1991-10-09	-1.022	-6.175	-0.325
1991-10-10	0.99	-0.96	8.701
1991-10-11	0.236	4.404	-0.298
1991-10-14	1.307	4.512	2.068
1991-10-15	1.168	2.899	3.449
1991-10-16	0.457	2.817	2.51
1991-10-17	-0.224	0	-3.933
1991-10-18	0.148	-0.278	0.856
1991-10-21	-0.634	-1.403	-2.299
1991-10-22	-0.563	2.235	0.291
1991-10-23	0.028	0.55	-0.874
1991-10-24	-0.743	-3.069	-0.587
1991-10-25	-0.226	-1.426	0
1991-10-28	1.375	3.944	0.586
1991-10-29	0.502	0.276	2.312
1991-10-30	0.377	4.577	0
1991-10-31	-0.127	2.598	-7.411
1991-11-01	-0.291	-3.125	3.031
1991-11-04	-0.266	0.265	-2.112
1991-11-05	-0.403	2.347	2.41
1991-11-06	0.324	0.514	-0.597
1991-11-07	0.957	6.933	2.95
1991-11-08	-0.211	1.896	0.579
1991-11-11	0.058	-0.943	-0.58
1991-11-12	0.917	1.178	0.579
1991-11-13	0.169	2.543	0
1991-11-14	-0.065	-0.917	0
1991-11-15	-3.727	-5.689	-5.342
1991-11-18	0.682	0.971	1.812
1991-11-19	-1.522	-2.942	0
1991-11-20	-0.235	-1	-1.205
1991-11-21	0.403	1	0
1991-11-22	-1.037	-2.01	-0.608
1991-11-25	-0.213	-1.02	-1.846
1991-11-26	0.696	0.766	1.846
1991-11-27	-0.374	0.76	0.305
1991-11-29	-0.354	0	-0.304
1991-12-02	1.634	4.445	2.112
1991-12-03	-0.115	2.386	-0.9
1991-12-04	-0.234	3.705	-0.301
1991-12-05	-0.708	-1.835	-0.302
1991-12-06	0.452	-0.696	1.205
1991-12-09	-0.222	1.619	1.191
1991-12-10	-0.095	-0.921	1.759
1991-12-11	-0.053	0	-0.876
1991-12-12	1.014	0.922	2.032
1991-12-13	0.762	0.686	1.709
1991-12-16	-0.003	2.029	1.681
1991-12-17	-0.443	0	-1.117
1991-12-18	0.188	1.551	0.839
1991-12-19	-0.251	-1.55	-5.437
1991-12-20	1.175	-1.802	0
1991-12-23	2.496	2.69	3.468
1991-12-24	0.631	4.752	2.801
1991-12-26	1.37	7.32	4.852
1991-12-27	0.399	0.781	0
1991-12-30	2.113	4.191	2.598
1991-12-31	0.469	-1.125	0.512
1992-01-02	0.041	-0.758	2.519
1992-01-03	0.497	1.883	-0.499
1992-01-06	-0.33	0.372	-1.511
1992-01-07	-0.134	4.008	4.468
1992-01-08	0.168	4.538	1.446
1992-01-09	-0.117	0.511	2.364
1992-01-10	-0.603	-1.886	-1.412
1992-01-13	-0.183	1.033	1.412
1992-01-14	1.461	-0.343	1.852
1992-01-15	0.078	2.712	2.715
1992-01-16	-0.61	1.494	8.553
1992-01-17	0.155	-1.16	2.429
1992-01-20	-0.599	-6.542	-1.613
1992-01-21	-0.898	-4.736	-3.306
1992-01-22	1.322	7.889	2.899
1992-01-23	-0.761	1.709	1.015
1992-01-24	0.125	0.338	0.805
1992-01-27	-0.118	0.674	-1.616
1992-01-28	-0.007	0.168	2.017
1992-01-29	-1.12	-2.202	-3.452
1992-01-30	0.314	2.034	0.207
1992-01-31	-0.692	0.835	-1.245
1992-02-03	0.181	4.871	-0.209
1992-02-04	1.049	2.039	4.7
1992-02-05	-0.002	2.907	0.2
1992-02-06	-0.005	1.645	-0.6
1992-02-07	-0.662	1.473	3.35
1992-02-10	0.65	-1.77	1.156
1992-02-11	-0.002	-1.197	0.382
1992-02-12	0.811	2.968	3.746
1992-02-13	-0.828	-0.292	0.732
1992-02-14	-0.293	-1.18	-2.027
1992-02-18	-1.244	-2.251	-3.99
1992-02-19	0.216	-0.762	-1.17
1992-02-20	1.372	2.268	3.468
1992-02-21	-0.591	-2.574	2.617
1992-02-24	0.197	-1.857	-3.569
1992-02-25	-0.442	-0.784	-2.517
1992-02-26	1.187	4.616	2.708
1992-02-27	-0.359	-0.755	-1.539
1992-02-28	-0.281	-1.219	-1.562
1992-03-02	-0.061	-0.615	3.482
1992-03-03	0.097	-0.619	-1.34
1992-03-04	-0.856	-0.623	-1.749
1992-03-05	-0.691	-1.258	-0.393
1992-03-06	-0.511	-1.274	-1.989
1992-03-09	0.19	0.957	0
1992-03-10	0.414	2.198	3.55
1992-03-11	-0.705	-2.198	-3.15
1992-03-12	-0.035	0.475	2.372
1992-03-13	0.482	0.158	0
1992-03-16	0.135	-0.158	2.125
1992-03-17	0.782	3.873	0.572
1992-03-18	-0.105	1.808	1.322
1992-03-19	0.159	-1.05	-1.512
1992-03-20	0.365	0	-0.957
1992-03-23	-0.339	-2.288	-2.729
1992-03-24	-0.252	1.227	-3.213
1992-03-25	-0.333	4.179	-1.646
1992-03-26	0.083	-1.177	-2.522
1992-03-27	-1.075	-8.004	-6.142
1992-03-30	-0.124	0	-3.687
1992-03-31	0.171	1.274	3.687
1992-04-01	0.134	2.5	0.901
1992-04-02	-0.927	-1.555	-0.901
1992-04-03	0.262	0.313	-0.909
1992-04-06	1.001	3.077	5.551
1992-04-07	-1.874	-7.551	-2.848
1992-04-08	-0.898	0	2.198
1992-04-09	1.544	4.16	-0.436
1992-04-10	0.907	-6.141	-11.316
1992-04-13	0.442	1.324	-2.475
1992-04-14	1.542	4.502	4.652
1992-04-15	0.939	0	2.364
1992-04-16	-0.055	-2.871	-2.364
1992-04-20	-1.426	-3.625	-2.421
1992-04-21	0.024	-2.722	-0.985
1992-04-22	-0.11	2.722	3.406
1992-04-23	0.436	-2.377	-0.479
1992-04-24	-0.629	0.343	-0.482
1992-04-27	-0.139	-2.778	-1.46
1992-04-28	0.161	-3.95	-0.491
1992-04-29	0.709	3.95	2.673
1992-04-30	0.709	2.778	2.604
1992-05-01	-0.585	1.022	-1.65
1992-05-04	1.056	2.345	-0.238
1992-05-05	-0.017	2.936	3.509
1992-05-06	-0.012	0	-1.156
1992-05-07	-0.226	-1.621	0
1992-05-08	0.048	1.299	-0.7
1992-05-11	0.585	2.233	-0.469
1992-05-12	-0.527	-0.951	-2.865
1992-05-13	0.038	-2.581	-0.729
1992-05-14	-0.798	5.097	-4.489
1992-05-15	-0.741	1.541	-1.543
1992-05-18	0.661	2.118	-2.095
1992-05-19	0.859	0.597	-0.53
1992-05-20	-0.236	0.593	1.845
1992-05-21	-0.674	-1.791	-0.786
1992-05-22	0.344	-0.604	2.083
1992-05-26	-0.632	-0.608	-1.558
1992-05-27	0.185	0	3.599
1992-05-28	1.103	3.594	2
1992-05-29	-0.334	7.369	-0.995
1992-06-01	0.468	5.837	1.98
1992-06-02	-0.915	-2.611	0.245
1992-06-03	0.263	-1.064	0.73
1992-06-04	-0.321	0.534	-2.457
1992-06-05	0.053	-1.609	-0.499
1992-06-08	-0.029	0.54	1.242
1992-06-09	-0.802	-1.081	0.493
1992-06-10	-0.688	-0.544	-1.485
1992-06-11	0.441	1.087	-0.249
1992-06-12	0.173	1.609	-1.005
1992-06-15	0.129	0.266	-2.041
1992-06-16	-0.481	-2.145	0
1992-06-17	-1.495	-4.15	-1.558
1992-06-18	-0.324	-2.866	6.584
1992-06-19	0.674	2.299	3.373
1992-06-22	-0.067	-0.57	2.342
1992-06-23	0.159	3.922	1.835
1992-06-24	-0.052	0.821	-0.456
1992-06-25	-0.176	-1.649	-0.687
1992-06-26	0.082	-0.556	1.596
1992-06-29	1.352	5.157	4.426
1992-06-30	-0.196	-0.53	-1.308
1992-07-01	1.155	3.655	1.739
1992-07-02	-0.269	-2.072	-3.733
1992-07-06	0.501	1.559	1.993
1992-07-07	-1.137	-6.111	-1.547
1992-07-08	0.273	0.274	1.547
1992-07-09	0.956	2.695	0.873
1992-07-10	0.097	-0.801	-1.754
1992-07-13	0.06	0.801	0.441
1992-07-14	0.675	3.141	2.609
1992-07-15	-0.139	2.293	0
1992-07-16	0.105	0.252	-0.43
1992-07-17	-0.461	-1.01	-3.509
1992-07-20	-0.451	1.01	-0.447
1992-07-21	0.002	1.99	1.336
1992-07-22	-0.686	-3.509	-2.237
1992-07-23	0.28	2.519	3.991
1992-07-24	-0.117	2.941	1.296
1992-07-27	-0.015	-1.951	-2.609
1992-07-28	1.443	2.433	4.311
1992-07-29	1.122	0.957	-0.848
1992-07-30	0.4	0.238	0.425
1992-07-31	0.068	1.415	1.263
1992-08-03	0.207	-0.234	1.865
1992-08-04	-0.172	0	-0.412
1992-08-05	-0.513	-2.375	-2.084
1992-08-06	-0.38	-3.673	-1.485
1992-08-07	-0.407	0	0.214
1992-08-10	0.129	1.975	0.849
1992-08-11	-0.124	0.73	-0.211
1992-08-12	-0.268	-2.457	-2.142
1992-08-13	-0.012	-1.252	1.291
1992-08-14	0.521	-1.267	1.905
1992-08-17	0.198	0	-1.905
1992-08-18	0.142	0	-1.29
1992-08-19	-0.753	0	-3.077
1992-08-20	0.019	0	1.989
1992-08-21	-0.819	-3.636	-1.1
1992-08-24	-1	-4.879	-2.464
1992-08-25	0.216	3.547	2.02
1992-08-26	0.461	0.801	1.324
1992-08-27	0.005	-1.07	1.307
1992-08-28	0.316	-0.269	0
1992-08-31	-0.195	1.072	0.432
1992-09-01	0.491	2.891	1.921
1992-09-02	0.458	3.563	2.711
1992-09-03	0	0.499	2.439
1992-09-04	-0.216	0	-1.619
1992-09-08	-0.635	0.249	-0.409
1992-09-09	0.462	3.175	3.226
1992-09-10	0.859	2.844	1.965
1992-09-11	-0.088	-0.234	-0.39
1992-09-14	1.347	2.086	2.317
1992-09-15	-1.302	-2.321	-2.708
1992-09-16	0.036	-1.418	0
1992-09-17	0.002	1.887	1.169
1992-09-18	0.712	1.852	1.156
1992-09-21	-0.187	2.268	-0.577
1992-09-22	-1.191	-1.354	-0.968
1992-09-23	0.072	-1.373	3.629
1992-09-24	0.246	2.503	-0.942
1992-09-25	-0.989	-4.364	-1.912
1992-09-28	0.546	-3.341	0.769
1992-09-29	0.043	2.871	0.382
1992-09-30	0.24	-0.236	0.381
1992-10-01	-0.362	0.706	-3.089
1992-10-02	-1.408	-3.828	-1.98
1992-10-05	-0.709	-0.244	1.784
1992-10-06	-0.096	2.653	2.904
1992-10-07	-0.722	0.947	0.381
1992-10-08	0.862	3.02	0.757
1992-10-09	-1.256	-1.151	0.376
1992-10-12	1.18	1.379	-0.944
1992-10-13	0.455	0.228	-1.916
1992-10-14	0.017	0.228	-2.348
1992-10-15	0.056	0.905	1.376
1992-10-16	0.519	2.447	-1.179
1992-10-19	0.786	1.526	4.066
1992-10-20	0.12	0.432	1.319
1992-10-21	0.046	0.645	3.315
1992-10-22	-0.185	1.277	-1.829
1992-10-23	-0.193	-1.063	-0.927
1992-10-26	0.976	1.695	2.173
1992-10-27	0.079	-1.695	-1.842
1992-10-28	0.391	2.532	0
1992-10-29	0.174	1.653	-1.121
1992-10-30	-0.519	-1.653	1.493
1992-11-02	0.967	2.062	0.369
1992-11-03	-0.672	0	-0.741
1992-11-04	-0.671	0.407	0.556
1992-11-05	0.294	4.375	3.452
1992-11-06	-0.182	2.308	-1.439
1992-11-09	0.242	0.947	0.361
1992-11-10	0.007	5.317	0.899
1992-11-11	0.852	0.711	0.713
1992-11-12	0.159	1.233	-1.612
1992-11-13	-0.104	-1.234	1.077
1992-11-16	-0.415	-1.249	-1.802
1992-11-17	-0.336	-1.629	-1.466
1992-11-18	0.85	3.585	2.55
1992-11-19	0.18	1.398	0.359
1992-11-20	0.715	2.74	1.069
1992-11-23	-0.359	-1.36	-1.07
1992-11-24	0.579	3.698	0.714
1992-11-25	0.374	-1.329	0.355
1992-11-27	0.226	0	0.706
1992-11-30	0.276	0	0.702
1992-12-01	-0.132	-0.84	2.076
1992-12-02	-0.207	-2.216	0.341
1992-12-03	0.005	1.37	5.317
1992-12-04	0.499	1.352	1.923
1992-12-07	0.749	0.669	0.316
1992-12-08	0.385	-1.005	-0.954
1992-12-09	-0.307	-0.675	1.584
1992-12-10	-0.232	-0.68	1.25
1992-12-11	-0.21	-2.069	-2.04
1992-12-14	-0.205	-1.05	-1.115
1992-12-15	-0.062	-1.062	-0.804
1992-12-16	-0.243	-1.074	7.618
1992-12-17	0.902	4.054	3.53
1992-12-18	1.335	0.86	-1.163
1992-12-21	-0.131	0	5.129
1992-12-22	-0.089	0.341	-1.399
1992-12-23	-0.291	1.356	1.398
1992-12-24	0.168	1.338	0
1992-12-28	-0.141	6.121	0.416
1992-12-29	-0.267	-3.175	-1.533
1992-12-30	0.192	1.442	-1.13
1992-12-31	-0.711	0	-1.143
1993-01-04	-0.076	-0.798	-0.577
1993-01-05	-0.239	2.688	5.071
1993-01-06	0.041	2.465	8.046
1993-01-07	-0.876	-2.622	1.009
1993-01-08	-0.391	1.551	-0.882
1993-01-11	0.442	2.432	3.605
1993-01-12	0.021	0.748	-0.367
1993-01-13	0.461	2.648	7.665
1993-01-14	0.67	3.844	2.356
1993-01-15	0.277	-2.977	-0.891
1993-01-18	-0.071	2.557	4.27
1993-01-19	-0.392	-0.987	-1.621
1993-01-20	-0.405	0.565	-1.869
1993-01-21	0.488	4.138	-0.557
1993-01-22	0.142	-0.406	-0.447
1993-01-25	0.89	1.214	1.115
1993-01-26	-0.014	-1.486	1.518
1993-01-27	-0.419	-2.899	-1.542
1993-01-28	0.125	-1.838	-3.272
1993-01-29	0.027	0.994	-2.086
1993-02-01	0.849	2.51	4.129
1993-02-02	0.009	2.045	0
1993-02-03	1.043	-0.406	-2.158
1993-02-04	0.526	-0.954	0.343
1993-02-05	-0.14	-2.915	-2.198
1993-02-08	-0.241	-0.849	-0.704
1993-02-09	-0.564	-2.59	4.039
1993-02-10	0.202	2.59	3.556
1993-02-11	0.32	-0.57	-1.873
1993-02-12	-0.69	-1.294	-1.232
1993-02-16	-2.429	-5.504	-4.727
1993-02-17	-0.141	0.306	2.449
1993-02-18	-0.324	4.472	1.373
1993-02-19	0.536	-0.879	4.77
1993-02-22	0.235	-3.288	-0.761
1993-02-23	-0.101	-1.686	-1.098
1993-02-24	1.386	5.269	3.897
1993-02-25	0.333	1.745	0.212
1993-02-26	0.235	1.004	-1.279
1993-03-01	-0.309	-2.163	-1.079
1993-03-02	1.324	3.298	3.622
1993-03-03	0.303	2.094	0.314
1993-03-04	-0.428	1.916	-1.048
1993-03-05	-0.275	-0.271	-2.454
1993-03-08	1.909	-1.643	2.769
1993-03-09	-0.068	0.962	-0.844
1993-03-10	0.424	0.818	-0.745
1993-03-11	-0.574	2.015	-0.213
1993-03-12	-0.861	0.266	0.64
1993-03-15	0.355	1.579	0.846
1993-03-16	-0.013	-0.786	0.944
1993-03-17	-0.68	-2.938	-4.265
1993-03-18	0.795	-1.364	0.867
1993-03-19	-0.379	-1.802	-1.743
1993-03-22	-0.289	-3.849	-0.661
1993-03-23	-0.027	-2.95	-0.443
1993-03-24	-0.154	-0.601	1.544
1993-03-25	0.625	8.097	0.98
1993-03-26	-0.69	0.554	-1.089
1993-03-29	0.665	-2.801	0.11
1993-03-30	0.266	-0.57	1.088
1993-03-31	-0.066	2.26	-0.434
1993-04-01	-0.304	-1.123	-3.09
1993-04-02	-2.003	-4.329	-3.653
1993-04-05	0.208	1.173	2.413
1993-04-06	-0.256	0.292	1.241
1993-04-07	0.355	3.989	2.217
1993-04-08	-0.201	-2.546	-0.881
1993-04-12	1.467	0.287	3.905
1993-04-13	0.189	3.647	-4.238
1993-04-14	-0.125	0.823	0.111
1993-04-15	-0.058	-1.099	-1.003
1993-04-16	0.12	-1.671	-1.467
1993-04-19	-0.33	-3.429	-11.806
1993-04-20	-0.529	-2.95	3.271
1993-04-21	-0.331	3.53	1.718
1993-04-22	-0.944	-0.58	-6.795
1993-04-23	-0.555	-1.464	-3.444
1993-04-26	-0.341	-4.218	-5.855
1993-04-27	0.565	-0.617	5.158
1993-04-28	0.002	5.423	2.681
1993-04-29	0.221	2.605	1.314
1993-04-30	0.273	-5.884	-0.655
1993-05-03	0.514	4.734	1.952
1993-05-04	0.359	3.13	4.411
1993-05-05	0.106	3.034	0.123
1993-05-06	-0.284	-1.643	-0.246
1993-05-07	-0.215	7.45	0.738
1993-05-10	0.111	1.526	0.489
1993-05-11	0.352	0.504	-2.971
1993-05-12	0.099	-1.519	-1.519
1993-05-13	-1.26	-0.768	-0.128
1993-05-14	0.075	3.038	-0.384
1993-05-17	0.184	3.912	1.526
1993-05-18	-0.011	2.135	2.248
1993-05-19	1.633	3.913	3.16
1993-05-20	-1.572	-1.363	-0.239
1993-05-21	1.185	-1.151	-0.722
1993-05-24	0.483	0.462	0.242
1993-05-25	0.19	-1.392	0
1993-05-26	1.017	5.012	6.303
1993-05-27	-0.227	-2.247	2.016
1993-05-28	-0.492	-1.835	-1.677
1993-06-01	0.805	-2.342	4.086
1993-06-02	0.004	0.237	-0.651
1993-06-03	-0.3	2.567	-0.766
1993-06-04	-0.538	-3.996	-0.993
1993-06-07	-0.528	-2.182	3.057
1993-06-08	-0.668	-0.985	-2.615
1993-06-09	0.24	0.74	-1.334
1993-06-10	-0.09	1.705	-2.262
1993-06-11	0.421	1.914	3.374
1993-06-14	0.101	2.342	1.1
1993-06-15	-0.322	0	1.088
1993-06-16	0.26	-1.164	-2.189
1993-06-17	0.248	-0.469	-0.666
1993-06-18	-1.089	-3.107	-1.345
1993-06-21	0.571	-1.221	2.453
1993-06-22	-0.065	-0.246	-2.228
1993-06-23	-0.616	-0.494	-0.905
1993-06-24	0.771	1.718	-2.299
1993-06-25	0.219	3.819	1.615
1993-06-28	0.945	5.246	2.486
1993-06-29	-0.257	-1.117	0.889
1993-06-30	-0.036	-1.586	-2.691
1993-07-01	-0.336	1.361	-1.835
1993-07-02	-0.711	0	-0.231
1993-07-06	-0.994	-1.36	-1.167
1993-07-07	0.317	-3.248	-1.181
1993-07-08	1.299	1.172	3.959
1993-07-09	-0.109	2.076	2.257
1993-07-12	0.19	0.909	-0.672
1993-07-13	-0.198	1.572	-2.043
1993-07-14	0.443	0.223	-2.086
1993-07-15	-0.191	-7.376	-1.178
1993-07-16	-0.775	-4.401	-4.359
1993-07-19	0.063	-1.005	0.74
1993-07-20	0.287	5.407	2.187
1993-07-21	-0.029	-1.933	-1.697
1993-07-22	-0.599	-0.981	-2.225
1993-07-23	0.581	4.102	3.44
1993-07-26	0.444	4.846	2.246
1993-07-27	-0.189	-5.082	0.236
1993-07-28	-0.234	1.645	1.172
1993-07-29	0.68	-1.173	-1.173
1993-07-30	-0.47	-2.146	-1.425
1993-08-02	0.45	1.198	0.715
1993-08-03	-0.196	1.887	0.71
1993-08-04	-0.163	1.623	3.705
1993-08-05	-0.091	1.37	1.355
1993-08-06	0.123	2.905	2.655
1993-08-09	0.454	3.463	0.869
1993-08-10	-0.282	0	-1.527
1993-08-11	0.224	-2.151	3.244
1993-08-12	-0.334	-0.874	0.213
1993-08-13	0.262	-7.04	1.475
1993-08-16	0.496	3.468	7.456
1993-08-17	0.166	4.01	0.966
1993-08-18	0.64	-0.877	0.766
1993-08-19	0.085	-3.588	-2.317
1993-08-20	-0.059	-3.013	-0.392
1993-08-23	-0.204	1.634	0.781
1993-08-24	0.992	2.062	-1.174
1993-08-25	0.078	-3.931	-1.588
1993-08-26	0.198	-5.08	1.39
1993-08-27	-0.109	4.37	0.393
1993-08-30	0.295	-5.618	0.587
1993-08-31	0.359	-4.103	0.39
1993-09-01	-0.088	1.042	-1.174
1993-09-02	-0.4	1.031	-0.79
1993-09-03	0.009	-2.862	-0.398
1993-09-07	-0.613	-8.821	-1.202
1993-09-08	-0.409	0.861	1.6
1993-09-09	0.186	6.364	2.74
1993-09-10	0.918	-4.104	1.151
1993-09-13	0.074	-6.939	-1.152
1993-09-14	-0.469	1.191	-2.344
1993-09-15	0.369	2.339	2.537
1993-09-16	-0.471	5.619	-1.358
1993-09-17	-0.131	0	0.39
1993-09-20	-0.827	-2.77	1.353
1993-09-21	-0.463	1.118	0.192
1993-09-22	0.715	4.879	3.019
1993-09-23	0.337	0	1.659
1993-09-24	-0.024	2.612	0.547
1993-09-27	0.907	4.781	2.336
